Национальный банк Кыргызстана, Бишкек
Государственная филармония, Бишкек
Бишкекский городской акимиат, Бишкек
Центральный универмаг, Бишкек
Кыргызский национальный университет, Бишкек
Медицинская академия Бишкек, Бишкек
Политехнический университет Бишкек, Бишкек
Парк Дружбы Бишкек, Бишкек
Стадион Спартак Бишкек, Бишкек
Западный автовокзал Бишкек, Бишкек
улица Абдрахманова 120, Бишкек
улица Исанова 42, Бишкек
улица Калыка Акиева 55, Бишкек
улица Кийизбаева 8, Бишкек
улица Малдыбаева 34, Бишкек
улица Матросова 19, Бишкек
улица Мичурина 66, Бишкек
улица Панфилова 237, Бишкек
улица Пушкина 78, Бишкек
улица Садырбаева 11, Бишкек
улица Советская 170, Бишкек
улица Суюмбаева 95, Бишкек
улица Шабдан Баатыра 44, Бишкек
улица Шопокова 62, Бишкек
улица Элебаева 29, Бишкек
улица Ахматбека Суюмбаева 3, Бишкек
улица Жоомарта Боконбаева 17, Бишкек
улица Курманжан Датки 80, Бишкек
улица Осмонкула 51, Бишкек
улица Сыдыкова 110, Бишкек
